City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,manvi,15.9833,77.05,28.99,56,91,6.01,IN,1686261499
129,arraial do cabo,-22.9661,-42.0278,20.92,88,0,3.09,BR,1686261499
130,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,54,75,1.0,RU,1686261499
131,el fasher,13.6279,25.3494,29.56,35,57,2.22,SD,1686261499
132,belmonte,-15.8631,-38.8828,22.77,89,14,3.69,BR,1686261499
133,udachny,66.4167,112.4,11.92,53,93,5.2,RU,1686261499
134,college,64.8569,-147.8028,21.99,49,100,2.57,US,1686261500
135,san luis de la loma,17.2706,-100.8939,31.42,56,36,3.82,MX,1686261500
136,lyozna,55.0249,30.7956,12.97,87,14,2.7,BY,1686261500
137,bredasdorp,-34.5322,20.0403,14.81,87,41,6.9,ZA,1686261465
138,tabuk,17.4189,121.4443,24.07,91,49,0.79,PH,1686261500
139,brisas barra de suchiate,14.55,-92.2167,29.82,69,49,4.58,MX,1686261501
140,haiku-pauwela,20.9219,-156.3051,30.01,42,20,10.8,US,1686261501
141,gordonvale,-17.0936,145.7842,21.88,100,87,1.77,AU,1686261501
142,uyovu,-3.2833,31.5258,18.04,59,5,1.94,TZ,1686261501
143,ust-nera,64.5667,143.2,13.65,63,47,0.17,RU,1686261501
144,vila franca do campo,37.7167,-25.4333,18.23,83,100,3.23,PT,1686261502
145,pemangkat,1.1667,108.9667,25.84,86,61,2.03,ID,1686261502
146,luganville,-15.5333,167.1667,24.6,73,72,4.48,VU,1686261502
147,pauini,-7.7136,-66.9764,25.15,90,31,0.38,BR,1686261502
148,dalnegorsk,44.5604,135.5701,12.86,89,100,2.41,RU,1686261502
149,vung tau,10.346,107.0843,26.73,84,100,5.23,VN,1686261305
150,vilyuysk,63.7553,121.6247,14.12,53,2,1.13,RU,1686261503
151,remire-montjoly,4.9167,-52.2667,25.02,88,40,0.51,GF,1686261503
152,gizo,-8.103,156.8419,27.7,76,95,2.44,SB,1686261503
153,olyokminsk,60.3736,120.4264,12.41,69,98,1.07,RU,1686261503
154,lagunas,-5.2269,-75.6753,28.75,71,38,0.12,PE,1686261504
155,al hoceima,35.2433,-3.9309,20.57,78,20,1.03,MA,1686261504
156,tra vinh,9.9347,106.3453,25.7,86,100,2.29,VN,1686261504
157,muravlenko,63.7898,74.523,5.71,87,32,2.3,RU,1686261504
158,maragogi,-9.0122,-35.2225,24.42,88,34,4.07,BR,1686261504
159,lusambo,-4.9667,23.45,22.46,61,50,0.49,CD,1686261504
160,kavaratti,10.5669,72.642,29.91,75,99,9.13,IN,1686261505
161,tiksi,71.6872,128.8694,9.18,68,39,5.03,RU,1686261505
162,sinabang,2.4803,96.3801,26.71,80,100,0.61,ID,1686261505
163,poronaysk,49.2167,143.1167,8.08,81,26,2.02,RU,1686261502
164,anadyr,64.75,177.4833,13.28,54,0,6.0,RU,1686261474
165,zaozersk,69.4005,32.4476,2.53,86,100,6.08,RU,1686261506
166,tambura,5.6,27.4667,21.19,99,100,2.48,SS,1686261506
167,prado,-17.3411,-39.2208,21.99,85,1,3.24,BR,1686261269
168,island harbour,50.724,-1.2758,17.18,66,0,2.24,GB,1686261506
169,yuzhno-kurilsk,44.0306,145.8556,10.07,98,100,3.46,RU,1686261506
170,kodiak,57.79,-152.4072,8.73,93,100,4.63,US,1686261477
171,pisco,-13.7,-76.2167,22.03,73,20,5.14,PE,1686261232
172,vilyuchinsk,52.9306,158.4028,14.15,64,64,0.32,RU,1686261507
173,khandyga,62.6667,135.6,16.0,48,81,1.19,RU,1686261497
174,zeya,53.75,127.2667,14.95,94,100,1.99,RU,1686261507
175,algona,43.07,-94.233,24.05,43,0,3.6,US,1686261508
176,enriquillo,17.9,-71.2333,30.82,66,100,3.81,DO,1686261508
177,kristiansund,63.1115,7.732,10.03,76,25,4.63,NO,1686261508
178,yamba,-5.9,22.3,22.66,61,51,0.67,CD,1686261508
179,bang pakong,13.543,100.9933,29.44,74,99,3.0,TH,1686261508
180,buka,40.8108,69.1986,25.53,21,0,2.0,UZ,1686261509
181,kamina,-8.7386,24.9906,18.84,58,72,1.46,CD,1686261509
182,itaueira,-7.6033,-43.0256,28.62,48,85,3.97,BR,1686261509
183,mermoz boabab,14.7065,-17.4758,25.31,88,20,8.23,SN,1686261509
184,hasaki,35.7333,140.8333,21.23,96,100,12.61,JP,1686261509
185,jiwani,25.05,61.7417,29.31,85,13,5.29,PK,1686261510
186,achinsk,56.2694,90.4993,18.9,75,98,2.68,RU,1686261509
187,bafq,31.6128,55.4107,22.85,55,100,1.96,IR,1686261510
188,cidreira,-30.1811,-50.2056,19.99,77,2,4.63,BR,1686261510
189,thunder bay,48.4001,-89.3168,22.99,27,40,3.6,CA,1686261476
190,kulhudhuffushi,6.6221,73.07,28.77,78,99,6.99,MV,1686261510
191,luwuk,-0.9516,122.7875,24.69,86,13,1.77,ID,1686261511
192,peniche,39.3558,-9.3811,19.05,95,67,9.11,PT,1686261511
193,chibougamau,49.9168,-74.3659,15.79,59,100,3.09,CA,1686261511
194,antsiranana,-12.2787,49.2917,23.58,77,4,5.87,MG,1686261511
195,saint-pierre,-21.3393,55.4781,21.82,68,40,3.09,RE,1686261511
196,ubari,26.5921,12.7805,29.11,25,1,3.42,LY,1686261511
197,slave lake,55.2834,-114.769,24.99,36,0,4.12,CA,1686261512
198,fang,19.9169,99.2145,22.47,99,98,0.62,TH,1686261512
199,kiama,-34.6833,150.8667,13.1,64,4,2.68,AU,1686261512
200,alofi,-19.0595,-169.9187,22.94,94,100,4.63,NU,1686261512
201,xilin hot,43.9667,116.0333,13.0,52,91,6.8,CN,1686261513
202,turinsk,58.0458,63.696,9.18,96,69,2.39,RU,1686261513
203,luderitz,-26.6481,15.1594,13.28,80,0,1.7,NA,1686261513
204,kentau,43.5206,68.5094,26.88,26,11,8.18,KZ,1686261513
205,fortuna,40.5982,-124.1573,16.07,88,75,6.17,US,1686261513
206,punta arenas,-53.15,-70.9167,0.06,86,20,2.57,CL,1686261316
207,fort st. john,56.2499,-120.8529,24.94,31,40,5.66,CA,1686261514
208,riosucio,5.4216,-75.7032,18.69,95,100,0.79,CO,1686261514
209,aldama,22.9167,-98.0667,34.16,51,16,6.91,MX,1686261514
210,nuuk,64.1835,-51.7216,2.34,69,75,2.06,GL,1686261235
211,avarua,-21.2078,-159.775,27.03,74,40,5.66,CK,1686261514
212,lazaro cardenas,17.9583,-102.2,31.09,56,64,4.9,MX,1686261514
213,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1686261515
214,acapulco de juarez,16.8634,-99.8901,31.45,55,56,4.55,MX,1686261255
215,abepura,-2.6333,140.5833,24.45,83,40,0.0,ID,1686261515
216,kaa-khem,51.6833,94.7333,18.47,57,96,0.59,RU,1686261515
217,ylitornio,66.3089,23.6773,3.78,71,52,2.38,FI,1686261515
218,humaita,-7.5061,-63.0208,27.66,69,83,0.81,BR,1686261516
219,tura,25.5198,90.2201,24.8,85,100,2.9,IN,1686261516
220,porto velho,-8.7619,-63.9039,26.03,89,40,1.03,BR,1686261516
221,fort bragg,35.139,-79.006,27.75,29,0,4.92,US,1686261516
222,novohrad-volynskyi,50.5941,27.6165,13.41,94,25,3.42,UA,1686261516
223,alice springs,-23.7,133.8833,1.75,93,0,0.0,AU,1686261517
224,villa huidobro,-34.8383,-64.5869,19.79,62,52,3.88,AR,1686261517
225,tralee,52.2704,-9.7026,16.39,73,96,5.28,IE,1686261517
226,suva,-18.1416,178.4415,24.71,83,40,0.0,FJ,1686261517
227,newman,37.3138,-121.0208,29.02,32,19,1.57,US,1686261363
228,khanty-mansiysk,61.0042,69.0019,7.06,100,83,0.0,RU,1686261518
229,gemena,3.25,19.7667,21.67,99,100,0.74,CD,1686261518
230,novodvinsk,64.4165,40.8122,7.28,97,96,1.16,RU,1686261518
231,yeosu,34.7546,127.6599,18.88,88,13,2.06,KR,1686261519
232,uturoa,-16.7333,-151.4333,26.14,67,95,8.93,PF,1686261519
233,kencong,-8.2833,113.3667,22.91,93,33,0.93,ID,1686261519
234,coxen hole,16.3244,-86.5366,33.6,62,20,2.57,HN,1686261519
235,yanchep,-31.55,115.6833,14.07,89,96,1.48,AU,1686261519
236,tual,-5.6667,132.75,27.4,80,74,6.94,ID,1686261520
237,tamiahua,21.2667,-97.45,29.98,73,56,5.64,MX,1686261520
238,ribeira grande,38.5167,-28.7,18.21,79,99,1.79,PT,1686261520
239,kharp,66.8014,65.8081,3.29,65,38,2.02,RU,1686261520
240,koryazhma,61.3143,47.1691,5.61,71,50,2.33,RU,1686261520
241,oamaru,-45.0784,170.9801,3.54,88,1,2.18,NZ,1686261520
242,cabo san lucas,22.8909,-109.9124,30.9,56,1,5.26,MX,1686261310
243,yaring,6.8662,101.3689,26.83,88,95,1.86,TH,1686261521
244,antofagasta,-23.65,-70.4,17.6,86,13,2.95,CL,1686261332
245,lorengau,-2.0226,147.2712,27.41,82,100,0.9,PG,1686261521
246,mahuta,-10.8667,39.45,18.36,98,11,0.89,TZ,1686261522
247,minas de marcona,-15.2119,-75.1103,16.58,69,3,5.16,PE,1686261522
248,howrah,22.5892,88.3103,31.0,84,75,3.09,IN,1686261522
249,dryden,49.7833,-92.7503,24.16,27,100,3.09,CA,1686261245
250,papao,-17.75,-149.55,28.82,67,32,9.56,PF,1686261522
251,portage la prairie,49.9728,-98.2926,27.18,62,100,1.03,CA,1686261523
252,san julian,21.0167,-102.1667,31.05,7,14,5.42,MX,1686261523
253,matanzas,23.0411,-81.5775,24.42,88,40,2.57,CU,1686261523
254,belo sur tsiribihina,-19.7,44.55,20.51,93,0,1.38,MG,1686261523
255,baiyin,36.5583,104.2081,18.4,29,68,1.05,CN,1686261523
256,santo antonio do ica,-3.1022,-67.9397,25.12,95,55,1.01,BR,1686261524
257,la'ie,21.6477,-157.9253,29.98,67,96,5.47,US,1686261524
258,swakopmund,-22.6833,14.5333,13.88,91,0,0.89,NA,1686261524
259,chabahar,25.2919,60.643,31.14,64,4,3.28,IR,1686261524
260,alaghsas,17.0187,8.0168,28.61,49,39,7.47,NE,1686261524
261,sungai raya,0.7,108.9,25.49,88,50,1.3,ID,1686261524
262,taghazout,30.5426,-9.7112,21.43,81,11,2.23,MA,1686261525
263,bull savanna,17.8868,-77.5902,26.96,80,100,6.21,JM,1686261525
264,xiva,41.3783,60.3639,20.99,35,100,4.95,UZ,1686261525
265,francistown,-21.17,27.5079,18.38,32,2,2.46,BW,1686261525
266,portland,45.5234,-122.6762,25.67,48,100,2.57,US,1686261141
267,plan de ayala,28.5694,-111.5588,31.3,41,100,5.82,MX,1686261526
268,soio,-6.1349,12.3689,22.92,86,34,2.35,AO,1686261526
269,zapolyarnyy,69.4154,30.8136,2.6,81,99,7.43,RU,1686261526
270,callao,-12.0667,-77.15,24.84,78,100,7.2,PE,1686261515
271,tofol,5.3248,163.0078,28.88,79,100,1.54,FM,1686261526
272,kayangel,8.0823,134.7173,28.71,74,90,4.91,PW,1686261527
273,butner,36.1321,-78.7567,26.57,45,6,3.41,US,1686261527
274,pangoa,-12.1167,-73.0,25.11,75,38,0.99,PE,1686261527
275,colonia,50.9333,6.95,18.96,76,0,1.03,DE,1686261384
276,bitburg,49.9667,6.5333,17.28,100,40,3.09,DE,1686261527
277,howard springs,-12.497,131.047,23.95,79,96,2.27,AU,1686261527
278,kavieng,-2.5744,150.7967,27.01,78,93,1.01,PG,1686261528
279,byron bay,-28.65,153.6167,15.39,71,0,3.54,AU,1686261528
280,usinsk,65.9939,57.5281,3.53,65,81,3.54,RU,1686261528
281,vorkuta,67.5,64.0,2.1,66,28,0.21,RU,1686261528
282,phan rang-thap cham,11.5667,108.9833,26.35,76,100,2.16,VN,1686261528
283,oujda-angad,34.6805,-1.9076,19.35,88,75,1.54,MA,1686261529
284,banda aceh,5.5577,95.3222,26.81,79,100,3.46,ID,1686261529
285,otaru,43.1894,141.0022,15.57,88,100,7.2,JP,1686261529
286,ghat,24.9647,10.1728,32.38,20,1,3.41,LY,1686261529
287,dingras,18.1032,120.6967,25.86,89,40,2.06,PH,1686261529
288,formosa,-26.1775,-58.1781,24.99,76,0,3.6,AR,1686261529
289,coquimbo,-29.9533,-71.3436,15.85,77,40,3.6,CL,1686261530
290,heber springs,35.4915,-92.0313,23.86,93,92,3.82,US,1686261530
291,orichi,58.4036,49.0572,6.24,91,9,1.6,RU,1686261530
292,navirai,-23.065,-54.1906,18.31,75,5,1.81,BR,1686261530
293,kingston,17.997,-76.7936,27.53,91,75,7.2,JM,1686261256
294,corner brook,48.9667,-57.9484,14.09,84,92,0.99,CA,1686261531
295,lompoc,34.6391,-120.4579,25.56,75,75,4.12,US,1686261531
296,estevan,49.1334,-102.9842,29.19,54,75,6.69,CA,1686261531
297,dudinka,69.4058,86.1778,6.33,59,96,6.68,RU,1686261531
298,garoowe,8.4054,48.4845,26.05,72,63,8.93,SO,1686261532
299,murghob,38.1702,73.9667,7.58,51,0,1.58,TJ,1686261532
300,jayapura,-2.5333,140.7,24.66,89,87,2.05,ID,1686261532
301,gubkinskiy,64.434,76.5026,4.73,77,73,4.57,RU,1686261532
302,neiafu,-18.65,-173.9833,25.38,83,75,2.06,TO,1686261532
303,port augusta,-32.5,137.7667,10.46,86,5,1.06,AU,1686261486
304,severinia,-20.8094,-48.8028,19.47,55,0,1.77,BR,1686261422
305,belidzhi,41.8918,48.4125,16.65,65,0,2.3,RU,1686261533
306,nacala,-14.5428,40.6728,22.46,88,0,1.49,MZ,1686261533
307,aasiaat,68.7098,-52.8699,-0.46,73,9,4.24,GL,1686261534
308,booue,-0.0921,11.9385,23.04,93,96,1.02,GA,1686261534
309,dietenhofen,49.4,10.6833,15.87,90,0,0.0,DE,1686261534
310,grunheide,52.4167,13.8167,22.21,54,95,4.05,DE,1686261534
311,fale old settlement,-9.3852,-171.2468,28.51,77,26,5.23,TK,1686261534
312,shache,38.4167,77.2406,22.06,20,0,2.32,CN,1686261535
313,dunedin,-45.8742,170.5036,7.67,71,77,2.68,NZ,1686261535
314,wawarsing,41.759,-74.3574,19.41,68,90,2.23,US,1686261535
315,arar,30.9753,41.0381,30.01,11,0,2.06,SA,1686261535
316,tolanaro,-25.0319,46.9987,23.04,83,0,6.17,MG,1686261535
317,kone,-21.0595,164.8658,22.41,50,0,0.79,NC,1686261535
318,new norfolk,-42.7826,147.0587,8.73,79,67,2.24,AU,1686261536
319,dauphin,51.1494,-100.0502,20.08,88,100,3.09,CA,1686261536
320,lobujya,27.95,86.8167,-6.62,67,68,1.45,NP,1686261536
321,mount pearl,47.5166,-52.7813,13.31,92,75,5.14,CA,1686261536
322,virginia beach,36.8529,-75.978,20.03,79,75,4.63,US,1686261405
323,hadibu,12.65,54.0333,28.55,77,88,5.47,YE,1686261537
324,otacilio costa,-27.4831,-50.1219,12.75,82,0,0.29,BR,1686261537
325,valparaiso,-33.0393,-71.6273,16.11,86,100,3.09,CL,1686261537
326,mega,4.05,38.3,19.03,56,57,6.94,ET,1686261537
